,Month,Searches for 'Free Sky',Searches for 'Free Sky Sports',Searches for 'Sky Sports Free',Searches for 'Watch Sky Sports Free'
209,2021-06,27,10,10,17
210,2021-07,29,12,12,19
211,2021-08,33,18,18,23
212,2021-09,30,16,16,23
213,2021-10,31,15,15,22
214,2021-11,28,11,11,17
215,2021-12,30,11,11,19
216,2022-01,32,13,13,24
217,2022-02,37,15,15,26
218,2022-03,37,16,16,27
219,2022-04,37,18,18,27
220,2022-05,34,17,17,25
221,2022-06,30,11,11,17
222,2022-07,33,14,14,20
223,2022-08,40,22,22,34
224,2022-09,30,11,11,22
225,2022-10,34,15,15,25
226,2022-11,31,9,9,18
227,2022-12,31,9,9,18
228,2023-01,35,14,14,22
229,2023-02,34,15,15,25
230,2023-03,32,11,11,24
231,2023-04,32,13,13,23
232,2023-05,28,13,13,20
233,2023-06,29,9,9,18
234,2023-07,27,11,11,18
235,2023-08,32,14,14,22
236,2023-09,31,13,13,21
237,2023-10,36,14,14,25
238,2023-11,30,9,9,19
239,2023-12,30,10,10,20
240,2024-01,29,12,12,22
241,2024-02,26,10,10,17
242,2024-03,27,11,11,21
243,2024-04,26,11,11,19
244,2024-05,25,11,11,20
245,2024-06,25,8,8,19
246,2024-07,25,9,9,19
247,2024-08,26,11,11,19
248,2024-09,23,10,10,17
249,2024-10,24,8,8,16
250,2024-11,26,9,9,17
251,2024-12,26,10,10,23
252,2025-01,25,10,10,17
253,2025-02,28,9,9,19
254,2025-03,26,9,9,17
255,2025-04,28,12,12,24
256,2025-05,34,10,10,23
257,2025-06,26,7,7,15
